"filename", "language", "Python", "Database", "Properties", "PowerShell", "Shell Script", "Log", "C", "reStructuredText", "C++", "Markdown", "Ini", "JavaScript", "XML", "comment", "blank", "total"
"/home/pes/kaban_project/kaban_system2/venv/lib/python3.10/site-packages/aiogram/methods/send_photo.py", "Python", 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 11, 124
"/home/pes/kaban_project/kaban_system2/venv/lib/python3.10/site-packages/aiogram/methods/send_poll.py", "Python", 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 11, 155
"/home/pes/kaban_project/kaban_system2/venv/lib/python3.10/site-packages/aiogram/methods/send_sticker.py", "Python", 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 11, 105
"/home/pes/kaban_project/kaban_system2/venv/lib/python3.10/site-packages/aiogram/methods/send_venue.py", "Python", 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 11, 123
"/home/pes/kaban_project/kaban_system2/venv/lib/python3.10/site-packages/aiogram/methods/send_video.py", "Python", 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 11, 154
"/home/pes/kaban_project/kaban_system2/venv/lib/python3.10/site-packages/aiogram/methods/send_video_note.py", "Python", 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 11, 114
"/home/pes/kaban_project/kaban_system2/venv/lib/python3.10/site-packages/aiogram/methods/send_voice.py", "Python", 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 11, 118
"/home/pes/kaban_project/kaban_system2/venv/lib/python3.10/site-packages/aiogram/methods/set_business_account_bio.py", "Python", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 10, 41
"/home/pes/kaban_project/kaban_system2/venv/lib/python3.10/site-packages/aiogram/methods/set_business_account_gift_settings.py", "Python", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 10, 48
"/home/pes/kaban_project/kaban_system2/venv/lib/python3.10/site-packages/aiogram/methods/set_business_account_name.py", "Python", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 10, 47
"/home/pes/kaban_project/kaban_system2/venv/lib/python3.10/site-packages/aiogram/methods/set_business_account_profile_photo.py", "Python", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 10, 48
"/home/pes/kaban_project/kaban_system2/venv/lib/python3.10/site-packages/aiogram/methods/set_business_account_username.py", "Python", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 10, 43
"/home/pes/kaban_project/kaban_system2/venv/lib/python3.10/site-packages/aiogram/methods/set_chat_administrator_custom_title.py", "Python", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 10, 45
"/home/pes/kaban_project/kaban_system2/venv/lib/python3.10/site-packages/aiogram/methods/set_chat_description.py", "Python", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 10, 40
"/home/pes/kaban_project/kaban_system2/venv/lib/python3.10/site-packages/aiogram/methods/set_chat_menu_button.py", "Python", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 10, 40
"/home/pes/kaban_project/kaban_system2/venv/lib/python3.10/site-packages/aiogram/methods/set_chat_permissions.py", "Python", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 10, 48
"/home/pes/kaban_project/kaban_system2/venv/lib/python3.10/site-packages/aiogram/methods/set_chat_photo.py", "Python", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 10, 36
"/home/pes/kaban_project/kaban_system2/venv/lib/python3.10/site-packages/aiogram/methods/set_chat_sticker_set.py", "Python", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 10, 42
"/home/pes/kaban_project/kaban_system2/venv/lib/python3.10/site-packages/aiogram/methods/set_chat_title.py", "Python", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 10, 36
"/home/pes/kaban_project/kaban_system2/venv/lib/python3.10/site-packages/aiogram/methods/set_custom_emoji_sticker_set_thumbnail.py", "Python", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 10, 39
"/home/pes/kaban_project/kaban_system2/venv/lib/python3.10/site-packages/aiogram/methods/set_game_score.py", "Python", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 10, 64
"/home/pes/kaban_project/kaban_system2/venv/lib/python3.10/site-packages/aiogram/methods/set_message_reaction.py", "Python", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 9, 50
"/home/pes/kaban_project/kaban_system2/venv/lib/python3.10/site-packages/aiogram/methods/set_my_commands.py", "Python", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 10, 45
"/home/pes/kaban_project/kaban_system2/venv/lib/python3.10/site-packages/aiogram/methods/set_my_default_administrator_rights.py", "Python", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 10, 40
"/home/pes/kaban_project/kaban_system2/venv/lib/python3.10/site-packages/aiogram/methods/set_my_description.py", "Python", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 10, 41
"/home/pes/kaban_project/kaban_system2/venv/lib/python3.10/site-packages/aiogram/methods/set_my_name.py", "Python", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 9, 37
"/home/pes/kaban_project/kaban_system2/venv/lib/python3.10/site-packages/aiogram/methods/set_my_short_description.py", "Python", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 10, 43
"/home/pes/kaban_project/kaban_system2/venv/lib/python3.10/site-packages/aiogram/methods/set_passport_data_errors.py", "Python", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 10, 41
"/home/pes/kaban_project/kaban_system2/venv/lib/python3.10/site-packages/aiogram/methods/set_sticker_emoji_list.py", "Python", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 10, 35
"/home/pes/kaban_project/kaban_system2/venv/lib/python3.10/site-packages/aiogram/methods/set_sticker_keywords.py", "Python", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 10, 39
"/home/pes/kaban_project/kaban_system2/venv/lib/python3.10/site-packages/aiogram/methods/set_sticker_mask_position.py", "Python", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 10, 40
