Date : 2025-06-19 12:57:00
Directory : /home/pes/kaban_project/kaban_system2/bot
Total : 5381 files,  -1727019 codes, -394065 comments, -186590 blanks, all -2307674 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| /home/pes/kaban_project/kaban_system2/venv/lib64/python3.10/site-packages/pip/_vendor/requests/_internal_utils.py                               | Python           |        -17 |        -18 |         -8 |        -43 |
| /home/pes/kaban_project/kaban_system2/venv/lib64/python3.10/site-packages/pip/_vendor/requests/adapters.py                                      | Python           |       -286 |       -175 |        -78 |       -539 |
| /home/pes/kaban_project/kaban_system2/venv/lib64/python3.10/site-packages/pip/_vendor/requests/api.py                                           | Python           |        -53 |        -93 |        -14 |       -160 |
| /home/pes/kaban_project/kaban_system2/venv/lib64/python3.10/site-packages/pip/_vendor/requests/auth.py                                          | Python           |       -200 |        -48 |        -58 |       -306 |
| /home/pes/kaban_project/kaban_system2/venv/lib64/python3.10/site-packages/pip/_vendor/requests/certs.py                                         | Python           |         -3 |        -13 |         -3 |        -19 |
| /home/pes/kaban_project/kaban_system2/venv/lib64/python3.10/site-packages/pip/_vendor/requests/compat.py                                        | Python           |        -38 |        -26 |        -14 |        -78 |
| /home/pes/kaban_project/kaban_system2/venv/lib64/python3.10/site-packages/pip/_vendor/requests/cookies.py                                       | Python           |       -280 |       -187 |        -83 |       -550 |
| /home/pes/kaban_project/kaban_system2/venv/lib64/python3.10/site-packages/pip/_vendor/requests/exceptions.py                                    | Python           |        -35 |        -44 |        -55 |       -134 |
| /home/pes/kaban_project/kaban_system2/venv/lib64/python3.10/site-packages/pip/_vendor/requests/help.py                                          | Python           |        -99 |        -13 |        -21 |       -133 |
| /home/pes/kaban_project/kaban_system2/venv/lib64/python3.10/site-packages/pip/_vendor/requests/hooks.py                                         | Python           |        -14 |        -14 |         -7 |        -35 |
| /home/pes/kaban_project/kaban_system2/venv/lib64/python3.10/site-packages/pip/_vendor/requests/models.py                                        | Python           |       -522 |       -294 |       -158 |       -974 |
| /home/pes/kaban_project/kaban_system2/venv/lib64/python3.10/site-packages/pip/_vendor/requests/packages.py                                      | Python           |         -8 |         -5 |         -4 |        -17 |
